"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"03Sep2014.Plate.20"	6	3	n	1	0.0	1.19
DMSO	"10Jun2015.Plate.11"	6	3	n	1	0.0	0.09
DMSO	"09Apr2014.Plate.34"	7	3	n	1	0.0	0.47
DMSO	"10Jun2015.Plate.7"	6	3	n	1	0.0	0.12
DMSO	"10Jun2015.Plate.16"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.7"	7	3	n	1	0.0	0.62
DMSO	"02Apr2014.Plate.9"	7	3	n	1	0.0	0.57
DMSO	"20130320.Plate.9"	7	3	n	1	0.0	0.109
DMSO	"10Jun2015.Plate.1"	6	3	n	1	0.0	0.12
DMSO	"26Mar2014.Plate.10"	7	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.12"	7	3	n	1	0.0	0.83
DMSO	"02Apr2014.Plate.12"	7	3	n	1	0.0	0.56
DMSO	"20130320.Plate.1"	6	3	n	1	0.0	0.109
DMSO	"20130321.Plate.2"	7	3	n	1	0.0	0.441
DMSO	"10Jun2015.Plate.23"	6	3	n	1	0.0	0.09
DMSO	"03Sep2014.Plate.10"	6	3	n	1	0.0	1.01
DMSO	"26Mar2014.Plate.14"	7	3	n	1	0.0	0.11
DMSO	"09Apr2014.Plate.16"	7	3	n	1	0.0	0.44
DMSO	"02Apr2014.Plate.16"	7	3	n	1	0.0	0.58
DMSO	"20130320.Plate.11"	6	3	n	1	0.0	0.137
DMSO	"20130321.Plate.4"	7	3	n	1	0.0	0.398
DMSO	"10Jun2015.Plate.27"	6	3	n	1	0.0	0.13
DMSO	"03Sep2014.Plate.14"	6	3	n	1	0.0	1.1
DMSO	"26Mar2014.Plate.19"	6	3	n	1	0.0	0.07
DMSO	"09Apr2014.Plate.2"	7	3	n	1	0.0	0.38
DMSO	"02Apr14.Plate.2"	7	3	n	1	0.0	0.56
DMSO	"20130320.Plate.13"	6	3	n	1	0.0	0.107
DMSO	"20130321.Plate.6"	7	3	n	1	0.0	0.392
DMSO	"10Jun2015.Plate.31"	6	3	n	1	0.0	0.15
DMSO	"03Sep2014.Plate.18"	6	3	n	1	0.0	1.15
DMSO	"26Mar2014.Plate.3"	6	3	n	1	0.0	0.08
DMSO	"02Apr2014.Plate.23"	7	3	n	1	0.0	0.64
DMSO	"20130320.Plate.15"	6	3	n	1	0.0	0.163
DMSO	"10Jun2015.Plate.35"	6	3	n	1	0.0	0.16
DMSO	"03Sep2014.Plate.3"	6	3	n	1	0.0	1.31
DMSO	"26Mar2014.Plate.7"	6	3	n	1	0.0	0.08
DMSO	"02Apr2014.Plate.27"	7	3	n	1	0.0	0.57
DMSO	"20130320.Plate.3"	6	3	n	1	0.0	0.087
DMSO	"10Jun2015.Plate.39"	6	3	n	1	0.0	0.15
DMSO	"03Sep2014.Plate.7"	6	3	n	1	0.0	1.2
DMSO	"02Apr2014.Plate.30"	7	3	n	1	0.0	0.62
DMSO	"20130320.Plate.5"	6	3	n	1	0.0	0.093
DMSO	"10Jun2015.Plate.42"	6	3	n	1	0.0	0.14
DMSO	"02Apr2014.Plate.5"	7	3	n	1	0.0	0.32
DMSO	"20130320.Plate.7"	7	3	n	1	0.0	0.117
DMSO	"09Apr2014.Plate.24"	6	3	n	1	0.0	0.4
DMSO	"20130321.Plate.9"	2	2	n	1	0.0	0.402
DMSO	"09Apr2014.Plate.28"	6	3	n	1	0.0	0.44
DMSO	"09Apr2014.Plate.31"	6	3	n	1	0.0	0.44
DMSO	"03Sep2014.Plate.20"	7	3	n	1	0.0	1.32
DMSO	"10Jun2015.Plate.11"	7	3	n	1	0.0	0.11
DMSO	"09Apr2014.Plate.4"	6	3	n	1	0.0	0.53
DMSO	"10Jun2015.Plate.7"	7	3	n	1	0.0	0.09
DMSO	"10Jun2015.Plate.16"	7	3	n	1	0.0	0.12
DMSO	"09Apr2014.Plate.8"	6	3	n	1	0.0	0.6
DMSO	"09Apr2014.Plate.1"	6	3	n	1	0.0	0.38
DMSO	"02Apr2014.Plate.1"	6	2	n	1	0.0	0.46
DMSO	"20130321.Plate.1"	2	2	n	1	0.0	0.408
DMSO	"10Jun2015.Plate.1"	7	3	n	1	0.0	0.12
DMSO	"26Mar2014.Plate.11"	6	3	n	1	0.0	0.07
DMSO	"09Apr2014.Plate.13"	6	3	n	1	0.0	0.47
DMSO	"02Apr2014.Plate.13"	6	3	n	1	0.0	0.66
DMSO	"20130320.Plate.1"	7	3	n	1	0.0	0.09
DMSO	"20130321.Plate.3"	2	2	n	1	0.0	0.391
DMSO	"10Jun2015.Plate.23"	7	3	n	1	0.0	0.08
DMSO	"03Sep2014.Plate.10"	7	3	n	1	0.0	1.48
DMSO	"26Mar2014.Plate.15"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.17"	6	3	n	1	0.0	0.59
DMSO	"02Apr2014.Plate.17"	6	3	n	1	0.0	0.75
DMSO	"20130320.Plate.11"	7	3	n	1	0.0	0.128
DMSO	"20130321.Plate.5"	2	2	n	1	0.0	0.411
DMSO	"10Jun2015.Plate.27"	7	3	n	1	0.0	0.17
DMSO	"03Sep2014.Plate.14"	7	3	n	1	0.0	1.26
DMSO	"26Mar2014.Plate.19"	7	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.20"	6	3	n	1	0.0	0.56
DMSO	"02Apr2014.Plate.20"	6	3	n	1	0.0	0.69
DMSO	"20130320.Plate.13"	7	3	n	1	0.0	0.154
DMSO	"20130321.Plate.7"	2	2	n	1	0.0	0.347
DMSO	"10Jun2015.Plate.31"	7	3	n	1	0.0	0.15
DMSO	"03Sep2014.Plate.18"	7	3	n	1	0.0	1.43
DMSO	"26Mar2014.Plate.3"	7	3	n	1	0.0	0.09
DMSO	"02Apr2014.Plate.24"	6	3	n	1	0.0	0.5
DMSO	"20130320.Plate.15"	7	3	n	1	0.0	0.123
DMSO	"10Jun2015.Plate.35"	7	3	n	1	0.0	0.14
DMSO	"03Sep2014.Plate.3"	7	3	n	1	0.0	1.49
DMSO	"26Mar2014.Plate.7"	7	3	n	1	0.0	0.08
DMSO	"02Apr2014.Plate.28"	6	3	n	1	0.0	0.59
DMSO	"20130320.Plate.3"	7	3	n	1	0.0	0.106
DMSO	"10Jun2015.Plate.39"	7	3	n	1	0.0	0.14
DMSO	"03Sep2014.Plate.7"	7	3	n	1	0.0	1.31
DMSO	"02Apr2014.Plate.31"	6	3	n	1	0.0	0.73
DMSO	"20130320.Plate.5"	7	3	n	1	0.0	0.099
DMSO	"10Jun2015.Plate.42"	7	3	n	1	0.0	0.14
DMSO	"02Apr2014.Plate.6"	6	3	n	1	0.0	0.64
DMSO	"20130320.Plate.8"	2	2	n	1	0.0	0.147
DMSO	"09Apr2014.Plate.24"	7	3	n	1	0.0	0.32
DMSO	"20130321.Plate.9"	2	3	n	1	0.0	0.363
DMSO	"09Apr2014.Plate.31"	7	3	n	1	0.0	0.55
DMSO	"10Jun2015.Plate.8"	6	3	n	1	0.0	0.1
DMSO	"10Jun2015.Plate.17"	6	3	n	1	0.0	0.13
DMSO	"09Apr2014.Plate.8"	7	3	n	1	0.0	0.47
