"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"09Apr2014.Plate.22"	7	3	n	1	0.0	0.29
DMSO	"02Apr2014.Plate.22"	7	3	n	1	0.0	0.27
DMSO	"20130320.Plate.6"	7	3	n	1	0.0	0.45
DMSO	"10Jun2015.Plate.22"	7	3	n	1	0.0	1.05
DMSO	"03Sep2014.Plate.13"	7	3	n	1	0.0	0.29
DMSO	"26Mar2014.Plate.6"	6	3	n	1	0.0	0.38
DMSO	"02Apr2014.Plate.26"	7	3	n	1	0.0	0.14142135623731
DMSO	"20130320.Plate.8"	7	3	n	1	0.0	0.39
DMSO	"10Jun2015.Plate.26"	7	3	n	1	0.0	1.04
DMSO	"03Sep2014.Plate.17"	7	3	n	1	0.0	0.37
DMSO	"02Apr2014.Plate.3"	7	3	n	1	0.0	0.43
DMSO	"20130321.Plate.1"	7	3	n	1	0.0	0.35
DMSO	"10Jun2015.Plate.30"	7	3	n	1	0.0	0.82
DMSO	"03Sep2014.Plate.22"	7	3	n	1	0.0	0.3
DMSO	"02Apr2014.Plate.4"	7	3	n	1	0.0	0.22
DMSO	"20130321.Plate.3"	7	3	n	1	0.0	0.37
DMSO	"10Jun2015.Plate.34"	7	3	n	1	0.0	0.79
DMSO	"03Sep2014.Plate.6"	7	3	n	1	0.0	0.32
DMSO	"02Apr2014.Plate.8"	7	3	n	1	0.0	0.31
DMSO	"20130321.Plate.5"	7	3	n	1	0.0	0.31
DMSO	"09Apr2014.Plate.27"	6	3	n	1	0.0	0.37
DMSO	"09Apr2014.Plate.30"	6	3	n	1	0.0	0.29
DMSO	"09Apr2014.Plate.34"	6	3	n	1	0.0	0.37
DMSO	"20130320.Plate.10"	7	3	n	1	0.0	0.41
DMSO	"09Apr2014.Plate.7"	6	3	n	1	0.0	0.34
DMSO	"20130320.Plate.12"	7	3	n	1	0.0	0.37
DMSO	"10Jun2015.Plate.39"	6	3	n	1	0.0	0.93
DMSO	"26Mar2014.Plate.10"	6	3	n	1	0.0	0.45
DMSO	"09Apr2014.Plate.12"	6	3	n	1	0.0	0.34
DMSO	"02Apr2014.Plate.12"	6	3	n	1	0.0	0.26
DMSO	"20130321.Plate.8"	2	2	n	1	0.0	0.3
DMSO	"20130320.Plate.14"	7	3	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.42"	6	3	n	1	0.0	1.05
DMSO	"10Jun2015.Plate.11"	6	3	n	1	0.0	1.03
DMSO	"26Mar2014.Plate.14"	6	3	n	1	0.0	0.53
DMSO	"09Apr2014.Plate.16"	6	3	n	1	0.0	0.32
DMSO	"02Apr2014.Plate.16"	6	3	n	1	0.0	0.31
DMSO	"20130320.Plate.2"	7	3	n	1	0.0	0.41
DMSO	"10Jun2015.Plate.7"	6	3	n	1	0.0	1.09
DMSO	"10Jun2015.Plate.16"	6	3	n	1	0.0	1.19
DMSO	"26Mar2014.Plate.18"	7	3	n	1	0.0	0.54
DMSO	"09Apr2014.Plate.2"	6	3	n	1	0.0	0.42
DMSO	"02Apr14.Plate.2"	6	3	n	1	0.0	0.31
DMSO	"20130320.Plate.4"	7	3	n	1	0.0	0.44
DMSO	"10Jun2015.Plate.1"	6	3	n	1	0.0	1.24
DMSO	"03Sep2014.Plate.10"	6	3	n	1	0.0	0.23
DMSO	"26Mar2014.Plate.21"	7	3	n	1	0.0	0.55
DMSO	"09Apr2014.Plate.23"	6	3	n	1	0.0	0.37
DMSO	"02Apr2014.Plate.23"	6	3	n	1	0.0	0.28
DMSO	"20130320.Plate.7"	2	2	n	1	0.0	0.45
DMSO	"10Jun2015.Plate.23"	6	3	n	1	0.0	0.83
DMSO	"03Sep2014.Plate.14"	6	3	n	1	0.0	0.26
DMSO	"26Mar2014.Plate.6"	7	3	n	1	0.0	0.47
DMSO	"02Apr2014.Plate.27"	6	3	n	1	0.0	0.27
DMSO	"20130320.Plate.9"	2	2	n	1	0.0	0.44
DMSO	"10Jun2015.Plate.27"	6	3	n	1	0.0	0.88
DMSO	"03Sep2014.Plate.18"	6	3	n	1	0.0	0.34
DMSO	"02Apr2014.Plate.30"	6	3	n	1	0.0	0.25
DMSO	"20130321.Plate.2"	2	2	n	1	0.0	0.33
DMSO	"10Jun2015.Plate.31"	6	3	n	1	0.0	0.86
DMSO	"03Sep2014.Plate.3"	6	3	n	1	0.0	0.34
DMSO	"02Apr2014.Plate.5"	6	3	n	1	0.0	0.26
DMSO	"20130321.Plate.4"	2	2	n	1	0.0	0.31
DMSO	"10Jun2015.Plate.35"	6	3	n	1	0.0	0.85
DMSO	"03Sep2014.Plate.7"	6	3	n	1	0.0	0.32
DMSO	"02Apr2014.Plate.9"	6	3	n	1	0.0	0.3
DMSO	"20130321.Plate.6"	2	2	n	1	0.0	0.23
DMSO	"09Apr2014.Plate.27"	7	3	n	1	0.0	0.36
DMSO	"09Apr2014.Plate.30"	7	3	n	1	0.0	0.34
DMSO	"20130320.Plate.1"	2	2	n	1	0.0	0.27
DMSO	"09Apr2014.Plate.34"	7	3	n	1	0.0	0.34
DMSO	"20130320.Plate.11"	2	2	n	1	0.0	0.4
DMSO	"09Apr2014.Plate.7"	7	3	n	1	0.0	0.4
DMSO	"20130320.Plate.13"	2	2	n	1	0.0	0.32
DMSO	"10Jun2015.Plate.39"	7	3	n	1	0.0	0.92
DMSO	"26Mar2014.Plate.10"	7	3	n	1	0.0	0.47
DMSO	"09Apr2014.Plate.12"	7	3	n	1	0.0	0.34
DMSO	"02Apr2014.Plate.12"	7	3	n	1	0.0	0.25
DMSO	"20130321.Plate.8"	2	3	n	1	0.0	0.37
DMSO	"20130320.Plate.15"	2	2	n	1	0.0	0.35
DMSO	"10Jun2015.Plate.42"	7	3	n	1	0.0	0.87
DMSO	"10Jun2015.Plate.11"	7	3	n	1	0.0	0.97
DMSO	"26Mar2014.Plate.14"	7	3	n	1	0.0	0.53
DMSO	"09Apr2014.Plate.16"	7	3	n	1	0.0	0.42
DMSO	"02Apr2014.Plate.16"	7	3	n	1	0.0	0.3
DMSO	"20130320.Plate.3"	2	2	n	1	0.0	0.43
DMSO	"10Jun2015.Plate.7"	7	3	n	1	0.0	1.32
DMSO	"10Jun2015.Plate.16"	7	3	n	1	0.0	1.16
DMSO	"26Mar2014.Plate.19"	6	3	n	1	0.0	0.41
DMSO	"09Apr2014.Plate.2"	7	3	n	1	0.0	0.41
DMSO	"02Apr14.Plate.2"	7	3	n	1	0.0	0.32
DMSO	"20130320.Plate.5"	2	2	n	1	0.0	0.4
DMSO	"10Jun2015.Plate.1"	7	3	n	1	0.0	1.23
DMSO	"03Sep2014.Plate.10"	7	3	n	1	0.0	0.28
DMSO	"26Mar2014.Plate.3"	6	3	n	1	0.0	0.45
DMSO	"09Apr2014.Plate.23"	7	3	n	1	0.0	0.28
DMSO	"02Apr2014.Plate.23"	7	3	n	1	0.0	0.29
DMSO	"20130320.Plate.7"	2	3	n	1	0.0	0.44
DMSO	"10Jun2015.Plate.23"	7	3	n	1	0.0	0.75
DMSO	"03Sep2014.Plate.14"	7	3	n	1	0.0	0.3
DMSO	"26Mar2014.Plate.7"	6	3	n	1	0.0	0.41
DMSO	"02Apr2014.Plate.27"	7	3	n	1	0.0	0.27
DMSO	"20130320.Plate.9"	2	3	n	1	0.0	0.45
DMSO	"10Jun2015.Plate.27"	7	3	n	1	0.0	0.91
DMSO	"03Sep2014.Plate.18"	7	3	n	1	0.0	0.22
DMSO	"02Apr2014.Plate.30"	7	3	n	1	0.0	0.23
DMSO	"20130321.Plate.2"	2	3	n	1	0.0	0.31
DMSO	"10Jun2015.Plate.31"	7	3	n	1	0.0	1.04
DMSO	"03Sep2014.Plate.3"	7	3	n	1	0.0	0.38
DMSO	"02Apr2014.Plate.5"	7	3	n	1	0.0	0.14142135623731
DMSO	"20130321.Plate.4"	2	3	n	1	0.0	0.28
DMSO	"10Jun2015.Plate.35"	7	3	n	1	0.0	0.85
DMSO	"03Sep2014.Plate.7"	7	3	n	1	0.0	0.32
DMSO	"02Apr2014.Plate.9"	7	3	n	1	0.0	0.28
DMSO	"20130321.Plate.6"	2	3	n	1	0.0	0.14142135623731
DMSO	"09Apr2014.Plate.28"	6	3	n	1	0.0	0.31
DMSO	"09Apr2014.Plate.4"	6	3	n	1	0.0	0.39
DMSO	"20130320.Plate.11"	2	3	n	1	0.0	0.39
DMSO	"10Jun2015.Plate.3"	6	3	n	1	0.0	1.16
DMSO	"26Mar2014.Plate.11"	6	3	n	1	0.0	0.49
DMSO	"09Apr2014.Plate.13"	6	3	n	1	0.0	0.32
DMSO	"02Apr2014.Plate.13"	6	3	n	1	0.0	0.23
DMSO	"20130321.Plate.8"	6	3	n	1	0.0	0.34
DMSO	"20130320.Plate.15"	2	3	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.8"	6	3	n	1	0.0	1.04
DMSO	"10Jun2015.Plate.17"	6	3	n	1	0.0	1.11
DMSO	"26Mar2014.Plate.19"	7	3	n	1	0.0	0.5
DMSO	"09Apr2014.Plate.20"	6	3	n	1	0.0	0.25
DMSO	"02Apr2014.Plate.20"	6	3	n	1	0.0	0.24
DMSO	"20130320.Plate.5"	2	3	n	1	0.0	0.53
DMSO	"10Jun2015.Plate.24"	6	3	n	1	0.0	1.03
DMSO	"03Sep2014.Plate.15"	6	3	n	1	0.0	0.14142135623731
DMSO	"26Mar2014.Plate.7"	7	3	n	1	0.0	0.47
DMSO	"02Apr2014.Plate.28"	6	3	n	1	0.0	0.23
DMSO	"20130320.Plate.9"	6	3	n	1	0.0	0.44
DMSO	"10Jun2015.Plate.32"	6	3	n	1	0.0	0.95
DMSO	"03Sep2014.Plate.4"	6	3	n	1	0.0	0.33
DMSO	"02Apr2014.Plate.6"	6	3	n	1	0.0	0.24
DMSO	"20130321.Plate.4"	6	3	n	1	0.0	0.38
DMSO	"09Apr2014.Plate.28"	7	3	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.4"	7	3	n	1	0.0	0.4
DMSO	"20130320.Plate.11"	6	3	n	1	0.0	0.36
DMSO	"10Jun2015.Plate.12"	7	3	n	1	0.0	1.13
DMSO	"10Jun2015.Plate.3"	7	3	n	1	0.0	1.09
DMSO	"26Mar2014.Plate.11"	7	3	n	1	0.0	0.44
DMSO	"09Apr2014.Plate.13"	7	3	n	1	0.0	0.36
DMSO	"02Apr2014.Plate.13"	7	3	n	1	0.0	0.24
DMSO	"20130321.Plate.8"	7	3	n	1	0.0	0.37
DMSO	"20130320.Plate.15"	6	3	n	1	0.0	0.29
DMSO	"10Jun2015.Plate.8"	7	3	n	1	0.0	1.12
DMSO	"10Jun2015.Plate.17"	7	3	n	1	0.0	1.13
DMSO	"26Mar2014.Plate.2"	6	3	n	1	0.0	0.48
DMSO	"09Apr2014.Plate.20"	7	3	n	1	0.0	0.22
DMSO	"02Apr2014.Plate.20"	7	3	n	1	0.0	0.27
DMSO	"20130320.Plate.5"	6	3	n	1	0.0	0.42
DMSO	"10Jun2015.Plate.24"	7	3	n	1	0.0	1.03
DMSO	"03Sep2014.Plate.15"	7	3	n	1	0.0	0.14142135623731
DMSO	"26Mar2014.Plate.8"	6	3	n	1	0.0	0.43
DMSO	"02Apr2014.Plate.28"	7	3	n	1	0.0	0.24
DMSO	"20130320.Plate.9"	7	3	n	1	0.0	0.4
DMSO	"10Jun2015.Plate.32"	7	3	n	1	0.0	0.94
